state,key,code,r,d,rp,dp,p
KY,Adair,21001,"4,900","2,023",0.684,0.282,99
KY,Allen,21003,"4,410","1,875",0.672,0.286,99
KY,Anderson,21005,"5,164","3,158",0.587,0.359,99
KY,Ballard,21007,"2,249","1,223",0.626,0.341,99
KY,Barren,21009,"8,268","5,091",0.592,0.365,99
KY,Bath,21011,"1,777","1,890",0.463,0.493,99
KY,Bell,21013,"5,757","2,206",0.698,0.267,99
KY,Boone,21015,"23,191","9,779",0.678,0.286,99
KY,Bourbon,21017,"3,396","2,846",0.524,0.439,99
KY,Boyd,21019,"7,264","6,840",0.496,0.467,99
KY,Boyle,21021,"5,437","3,892",0.565,0.405,99
KY,Bracken,21023,"1,575",898,0.612,0.349,99
KY,Breathitt,21025,"2,430","2,062",0.522,0.443,99
KY,Breckinridge,21027,"4,120","2,830",0.571,0.392,99
KY,Bullitt,21029,"14,717","8,847",0.605,0.364,99
KY,Butler,21031,"2,873","1,085",0.705,0.266,99
KY,Caldwell,21033,"3,089","1,743",0.614,0.347,99
KY,Calloway,21035,"7,263","4,676",0.586,0.377,99
KY,Campbell,21037,"17,607","10,971",0.593,0.369,99
KY,Carlisle,21039,"1,386",777,0.627,0.351,99
KY,Carroll,21041,"1,683","1,649",0.488,0.478,99
KY,Carter,21043,"4,479","3,748",0.521,0.436,99
KY,Casey,21045,"3,699","1,174",0.734,0.233,99
KY,Christian,21047,"9,316","5,516",0.61,0.361,99
KY,Clark,21049,"7,131","4,882",0.573,0.392,99
KY,Clay,21051,"4,597","1,325",0.75,0.216,99
KY,Clinton,21053,"3,156",838,0.765,0.203,99
KY,Crittenden,21055,"2,283",953,0.679,0.283,99
KY,Cumberland,21057,"2,079",778,0.697,0.261,99
KY,Daviess,21059,"18,228","13,433",0.558,0.411,99
KY,Edmonson,21061,"2,731","1,370",0.645,0.324,99
KY,Elliott,21063,898,"1,153",0.421,0.541,99
KY,Estill,21065,"2,881","1,588",0.618,0.341,99
KY,Fayette,21067,"44,073","50,332",0.455,0.519,99
KY,Fleming,21069,"2,863","1,920",0.581,0.389,99
KY,Floyd,21071,"6,914","5,734",0.529,0.438,99
KY,Franklin,21073,"8,329","10,534",0.423,0.535,99
KY,Fulton,21075,"1,087",804,0.557,0.412,99
KY,Gallatin,21077,"1,530","1,028",0.577,0.388,99
KY,Garrard,21079,"3,764","1,562",0.684,0.284,99
KY,Grant,21081,"4,126","1,938",0.651,0.306,99
KY,Graves,21083,"8,365","4,359",0.638,0.332,99
KY,Grayson,21085,"5,048","2,553",0.64,0.324,99
KY,Green,21087,"3,198","1,454",0.665,0.302,99
KY,Greenup,21089,"6,077","5,378",0.514,0.455,99
KY,Hancock,21091,"1,882","1,707",0.506,0.459,99
KY,Hardin,21093,"17,551","11,975",0.575,0.392,99
KY,Harlan,21095,"6,461","2,199",0.72,0.245,99
KY,Harrison,21097,"3,228","2,243",0.557,0.387,99
KY,Hart,21099,"3,296","2,248",0.571,0.39,99
KY,Henderson,21101,"7,119","6,479",0.51,0.464,99
KY,Henry,21103,"3,281","2,382",0.559,0.406,99
KY,Hickman,21105,"1,156",707,0.6,0.367,99
KY,Hopkins,21107,"10,405","5,087",0.652,0.319,99
KY,Jackson,21109,"3,555",856,0.779,0.188,99
KY,Jefferson,21111,"108,778","144,749",0.421,0.56,99
KY,Jessamine,21113,"10,822","5,567",0.633,0.326,99
KY,Johnson,21115,"5,608","2,152",0.694,0.266,99
KY,Kenton,21117,"28,297","16,660",0.608,0.358,99
KY,Knott,21119,"2,578","1,661",0.594,0.383,99
KY,Knox,21121,"6,977","2,951",0.683,0.289,99
KY,Larue,21123,"2,966","1,608",0.626,0.339,99
KY,Laurel,21125,"12,613","3,997",0.738,0.234,99
KY,Lawrence,21127,"3,128","1,842",0.605,0.356,99
KY,Lee,21129,"1,729",799,0.659,0.304,99
KY,Leslie,21131,"3,513",684,0.818,0.159,99
KY,Letcher,21133,"4,787","2,495",0.635,0.331,99
KY,Lewis,21135,"2,383",951,0.695,0.277,99
KY,Lincoln,21137,"4,565","2,590",0.614,0.349,99
KY,Livingston,21139,"2,374","1,389",0.609,0.357,99
KY,Logan,21141,"4,719","2,706",0.616,0.353,99
KY,Lyon,21143,"2,096","1,425",0.576,0.392,99
KY,McCracken,21145,"15,043","8,262",0.63,0.346,99
KY,McCreary,21147,"3,508","1,275",0.701,0.255,99
KY,McLean,21149,"2,217","1,457",0.585,0.385,99
KY,Madison,21151,"15,472","10,407",0.576,0.388,99
KY,Magoffin,21153,"3,662","2,523",0.578,0.398,99
KY,Marion,21155,"2,498","3,267",0.423,0.553,99
KY,Marshall,21157,"7,886","4,977",0.593,0.374,99
KY,Martin,21159,"3,077",925,0.743,0.223,99
KY,Mason,21161,"3,279","2,192",0.583,0.39,99
KY,Meade,21163,"5,123","3,793",0.555,0.411,99
KY,Menifee,21165,"1,183","1,291",0.459,0.501,99
KY,Mercer,21167,"4,901","2,602",0.619,0.329,99
KY,Metcalfe,21169,"2,294","1,550",0.569,0.384,99
KY,Monroe,21171,"3,472","1,021",0.742,0.218,99
KY,Montgomery,21173,"4,711","3,837",0.53,0.432,99
KY,Morgan,21175,"2,230","1,817",0.528,0.43,99
KY,Muhlenberg,21177,"5,192","4,249",0.536,0.438,99
KY,Nelson,21179,"7,663","6,883",0.512,0.46,99
KY,Nicholas,21181,"1,005","1,147",0.448,0.511,99
KY,Ohio,21183,"5,460","3,236",0.608,0.36,99
KY,Oldham,21185,"15,049","7,746",0.644,0.331,99
KY,Owen,21187,"2,495","1,383",0.615,0.341,99
KY,Owsley,21189,"1,458",574,0.689,0.271,99
KY,Pendleton,21191,"2,715","1,304",0.639,0.307,99
KY,Perry,21193,"6,179","3,098",0.643,0.322,99
KY,Pike,21195,"11,840","6,531",0.627,0.346,99
KY,Powell,21197,"2,156","2,022",0.49,0.46,99
KY,Pulaski,21199,"15,610","5,263",0.723,0.244,99
KY,Robertson,21201,459,314,0.578,0.395,99
KY,Rockcastle,21203,"3,803","1,122",0.746,0.22,99
KY,Rowan,21205,"3,453","3,667",0.467,0.496,99
KY,Russell,21207,"4,779","1,685",0.709,0.25,99
KY,Scott,21209,"9,371","6,767",0.556,0.402,99
KY,Shelby,21211,"9,220","5,525",0.609,0.365,99
KY,Simpson,21213,"2,738","1,887",0.573,0.395,99
KY,Spencer,21215,"4,766","2,445",0.639,0.328,99
KY,Taylor,21217,"6,119","3,271",0.633,0.338,99
KY,Todd,21219,"2,367","1,179",0.641,0.319,99
KY,Trigg,21221,"3,328","1,765",0.632,0.335,99
KY,Trimble,21223,"1,678","1,282",0.551,0.421,99
KY,Union,21225,"3,171","1,824",0.618,0.356,99
KY,Warren,21227,"19,460","12,671",0.587,0.382,99
KY,Washington,21229,"2,655","1,775",0.58,0.388,99
KY,Wayne,21231,"4,229","2,343",0.615,0.341,99
KY,Webster,21233,"2,854","1,512",0.634,0.336,99
KY,Whitley,21235,"6,879","2,485",0.712,0.257,99
KY,Wolfe,21237,"1,134","1,180",0.475,0.494,99
KY,Woodford,21239,"5,573","4,470",0.536,0.43,99
IA,Adair,19001,"1,965",986,0.628,0.315,95
IA,Adams,19003,"1,106",493,0.658,0.293,95
IA,Allamakee,19005,"2,759","2,173",0.528,0.416,95
IA,Appanoose,19007,"2,522","1,589",0.556,0.35,95
IA,Audubon,19009,"1,458",850,0.603,0.352,95
IA,Benton,19011,"5,875","3,927",0.575,0.385,95
IA,Black Hawk,19013,"20,933","24,041",0.452,0.519,95
IA,Boone,19015,"5,595","4,387",0.536,0.42,95
IA,Bremer,19017,"5,478","4,195",0.546,0.418,95
IA,Buchanan,19019,"3,941","3,534",0.501,0.449,95
IA,Buena Vista,19021,"3,514","2,023",0.604,0.348,95
IA,Butler,19023,"3,625","1,943",0.628,0.336,95
IA,Calhoun,19025,"2,540","1,256",0.637,0.315,95
IA,Carroll,19027,"4,725","2,904",0.589,0.362,95
IA,Cass,19029,"3,287","1,528",0.657,0.305,95
IA,Cedar,19031,"4,006","2,968",0.55,0.407,95
IA,Cerro Gordo,19033,"7,590","8,881",0.446,0.522,95
IA,Cherokee,19035,"3,035","1,509",0.629,0.313,95
IA,Chickasaw,19037,"2,620","2,039",0.532,0.414,95
IA,Clarke,19039,"1,861","1,195",0.572,0.367,95
IA,Clay,19041,"3,781","1,889",0.634,0.317,95
IA,Clayton,19043,"3,784","2,878",0.543,0.413,95
IA,Clinton,19045,"8,039","8,317",0.469,0.485,95
IA,Crawford,19047,"2,881","1,542",0.614,0.329,95
IA,Dallas,19049,"17,191","10,746",0.596,0.372,95
IA,Davis,19051,"1,726","1,024",0.594,0.352,95
IA,Decatur,19053,"1,496",857,0.578,0.331,95
IA,Delaware,19055,"4,046","2,610",0.587,0.378,95
IA,Des Moines,19057,"6,314","6,790",0.465,0.5,95
IA,Dickinson,19059,"4,558","2,431",0.629,0.336,95
IA,Dubuque,19061,"16,351","18,313",0.453,0.507,95
IA,Emmet,19063,"1,973","1,229",0.566,0.353,95
IA,Fayette,19065,"4,046","3,448",0.518,0.441,95
IA,Floyd,19067,"2,723","3,011",0.454,0.502,95
IA,Franklin,19069,"2,467","1,217",0.633,0.312,95
IA,Fremont,19071,"1,510",797,0.624,0.329,95
IA,Greene,19073,"2,063","1,367",0.57,0.378,95
IA,Grundy,19075,"3,621","1,514",0.682,0.285,95
IA,Guthrie,19077,"2,735","1,366",0.63,0.315,95
IA,Hamilton,19079,"3,376","2,033",0.594,0.358,95
IA,Hancock,19081,"2,643","1,518",0.607,0.349,95
IA,Hardin,19083,"4,036","2,344",0.602,0.35,95
IA,Harrison,19085,"3,068","1,648",0.619,0.333,95
IA,Henry,19087,"4,011","2,317",0.605,0.349,95
IA,Howard,19089,"1,502","1,706",0.446,0.507,95
IA,Humboldt,19091,"2,564","1,135",0.663,0.294,95
IA,Ida,19093,"1,872",709,0.694,0.263,95
IA,Iowa,0,"3,921","2,520",0.584,0.375,95
IA,Jackson,19097,"3,763","3,370",0.495,0.443,95
IA,Jasper,19099,"7,779","6,350",0.521,0.425,95
IA,Jefferson,19101,"2,760","3,223",0.44,0.513,95
IA,Johnson,19103,"16,652","33,597",0.322,0.649,95
IA,Jones,19105,"4,088","3,319",0.529,0.429,95
IA,Keokuk,19107,"2,371","1,154",0.644,0.314,95
IA,Kossuth,19109,"4,001","2,261",0.609,0.344,95
IA,Lee,19111,"4,908","5,248",0.463,0.495,95
IA,Linn,19113,"38,908","43,690",0.454,0.51,95
IA,Louisa,19115,"2,014","1,205",0.597,0.357,95
IA,Lucas,19117,"1,944","1,027",0.612,0.323,95
IA,Lyon,19119,"3,618",586,0.841,0.136,95
IA,Madison,19121,"3,956","2,211",0.609,0.34,95
IA,Mahaska,19123,"5,309","2,079",0.686,0.269,95
